name,company,note,still alive,level audition,main title,ep2,ep3,ep4
敖心仪,嘉行新悦,,1,F,A,11,15,17
毕少岩,1CM领域,已淘汰,0,C,C,43,61,78
卞卡,华谊兄弟时尚,,1,F,F,41,44,31
曾淑岩,SDT娱乐,已淘汰,0,C,B,76,74,63
曾雪瑶,天浩盛世,,1,B,A,34,26,23
陈珂,丝芭传媒,,1,C,C,23,20,18
陈倩楠,丝芭传媒,,1,C,C,19,21,34
陈柔冰,爱声存,已淘汰,0,F,C,51,80,85
陈欣叶,白色系,已淘汰,0,F,B,40,55,72
陈俞瑾,亚歌文化,已淘汰,0,F,F,83,75,60
陈卓璇,天浩盛世,,1,A,C,2,2,2
崔文美秀,嘉行新悦,,1,F,B,50,48,36
丁诗妤,华谊兄弟时尚,已淘汰,0,F,F,69,64,67
冯琬贺,嘉行新悦,,1,F,B,72,46,16
高直,拓普腕文化,,1,F,B,16,22,48
胡嘉欣,天浩盛世,,1,B,B,24,19,22
胡玛尔,天浩盛世,,1,B,C,42,41,38
胡娅楠,星映环球,已淘汰,0,F,F,92,98,101
华承妍,万立达娱乐,,1,F,C,20,31,37
黄碧茵,香蕉娱乐,已淘汰,0,C,C,56,65,74
黄恩茹,丝芭传媒,,1,C,C,36,32,46
黄若元,华谊兄弟时尚,已淘汰,0,F,C,82,94,96
黄雨晴,TOP CLASS娱乐,已淘汰,0,F,B,96,101,100
吉扬柳,香蕉娱乐,,1,C,B,21,25,33
姜丹,天浩盛世,已淘汰,0,B,F,52,57,65
姜贞羽,果然娱乐,,1,A,A,8,6,6
康汐,好好榜样,,1,F,F,37,39,28
拉娜,达意美施,,1,C,B,27,29,43
鹂蔓,SDT娱乐,已淘汰,0,C,B,91,81,71
李保怡,香蕉娱乐,已淘汰,0,C,B,62,68,76
李丞汐,个人学员,旁听生,1,B,C,59,77,75
李惠玉,AIF娱乐,已淘汰,0,F,F,77,85,73
李佳恩,丝芭传媒,,1,C,C,32,33,41
李佳洁,华策集团,已淘汰,0,F,B,79,88,88
李梦琦,香蕉娱乐,,1,C,C,33,30,32
李雨露,齐鼓文化,已淘汰,0,F,C,97,72,84
李紫梦,齐舞娱乐,,1,A,B,30,40,50
林嘉慧,齐鼓文化,已淘汰,0,F,B,53,51,61
林君怡,意汇传媒,,1,A,A,6,8,8
刘梦,嘉行新悦,,1,F,F,10,13,13
刘念,尚越文化,,1,C,C,28,27,30
刘诗琦,拓普腕文化,已淘汰,0,F,F,60,84,90
刘些宁,好好榜样,,1,A,C,3,4,5
刘雨露,好好榜样,,1,F,F,45,45,42
吕欣蔚,呐喊文化,已淘汰,0,F,C,100,92,86
马思惠,英皇娱乐,,1,F,C,26,28,49
马玉灵,丝芭传媒,,1,C,F,25,35,44
孟欢,缔壹娱乐,已淘汰,0,F,C,61,52,56
妙静鸥,天娱传媒,,1,B,B,46,54,55
潘小雪,好好榜样,已淘汰,0,F,C,87,82,79
庞雪倩,呐喊文化,已淘汰,0,F,C,101,67,77
沈小婷,TOP CLASS娱乐,已淘汰,0,F,B,64,87,80
史芮伊,黑金计划,,1,C,F,57,37,39
舒一灵,SDT娱乐,已淘汰,0,C,A,90,78,64
宋宇苗,AIF娱乐,已淘汰,0,F,F,80,83,87
苏芮琪,ETM活力时代,,1,B,A,13,12,12
孙露鹭,态度音乐,已淘汰,0,B,C,85,95,95
孙如云,未美文化,旁听生,1,B,F,47,56,57
孙珍妮,丝芭传媒,,1,C,C,18,17,19
谭思慧,齐鼓文化,已淘汰,0,F,C,94,70,83
田京凡,嘉行新悦,,1,F,C,39,43,52
屠芷莹,玉衡星场,,1,B,B,49,62,53
万芳舟,尚越文化,已淘汰,0,C,C,74,58,58
王靖贤,AIF娱乐,已淘汰,0,F,C,84,90,91
王柯,呐喊文化,,1,F,C,78,23,26
王丽娜,光视传媒,,1,B,F,35,47,54
王曦瑶,SDT娱乐,旁听生,1,C,F,86,79,70
王一桥,新湃传媒,,1,B,F,29,24,27
王艺瑾,嘉行新悦,,1,F,B,7,7,7
王雨朵,尚越文化,已淘汰,0,C,F,67,73,68
卫倩妮,AIF娱乐,已淘汰,0,F,B,81,86,81
温馨,TOP CLASS娱乐,已淘汰,0,F,B,95,100,99
文婕,华谊兄弟时尚,已淘汰,0,F,C,73,76,69
吴妙茵,齐鼓文化,已淘汰,0,F,C,88,66,82
吴晓凝,缔壹娱乐,已淘汰,0,F,F,65,93,93
伍雅露,津禾传媒,,1,B,C,48,38,29
希林娜依·高,梦响强音,,1,F,A,1,1,1
谢安然,声曜文化,,1,B,F,17,18,20
谢安诗,华谊兄弟时尚,已淘汰,0,F,F,89,97,97
谢樱俊,拓普腕文化,已淘汰,0,F,F,68,89,92
徐艺洋,龙韬娱乐,,1,C,B,15,11,9
许潇晗,AIF娱乐,,1,F,B,31,34,25
姚慧,卓然影业,,1,A,F,9,9,11
于扬子,缔壹娱乐,,1,F,F,75,60,24
余子鱼,缔壹娱乐,,1,F,C,70,59,35
袁嘉艺,优米可娱乐,已淘汰,0,B,F,63,69,59
张纯如,呐喊文化,已淘汰,0,F,C,98,91,89
张清,咏絮文化,,1,F,C,38,50,45
张欣媚,天浩盛世,已淘汰,0,B,F,58,63,62
张馨文,papitube,,1,B,B,14,16,21
张馨允,SDT娱乐,已淘汰,0,C,B,55,71,66
张雅卓,诺心传媒,,1,C,B,71,36,40
张艺凡,时代峰峻,,1,F,C,5,5,4
赵天爱,拓普腕文化,已淘汰,0,F,F,99,96,98
赵粤,丝芭传媒,,1,C,C,12,10,10
郑乃馨,华影艺星,,1,A,B,4,3,3
钟欣,嘿吼传媒,,1,F,F,66,42,15
仲菲菲,蛋木文化,,1,F,C,44,49,47
周雨霖,TOP CLASS娱乐,已淘汰,0,F,F,93,99,94
朱苓,尚越文化,,1,C,C,54,53,51
朱主爱,乐腾演艺,,1,C,B,22,14,14
